Date,Item,Total Cost,Frequency,Min Price,Max Price
2023-08-01,SHRP P&D TO 16-20,$103.80,2,$51.90,$51.90
2023-08-01,PD POTATO RED A #2,$119.40,1,$119.40,$119.40
2023-08-01,PD PPR BELL RED LG,$162.85,7,$18.54,$31.49
2023-08-01,PD CABB GREEN SACK,$17.23,1,$17.23,$17.23
2023-08-01,PD ONION YEL JBO,$427.11,20,$-19.46,$30.89
2023-08-01,PD BROC CROWNS DW,$93.88,1,$93.88,$93.88
2023-08-01,PD SQUASH ITALN MD,$43.70,2,$-14.56,$58.26
2023-08-01,PD CELERY BULK,$578.18,22,$-12.00,$62.79
2023-08-01,Sub-Total,$582.45,1,$582.45,$582.45
2023-08-01,Tax,$50.24,1,$50.24,$50.24
2023-08-01,Total,$632.69,1,$632.69,$632.69
2023-08-01,DEBIT    6866,$632.69,1,$632.69,$632.69
2023-08-01,Balance,$0.00,1,$0.00,$0.00
2023-06-21,PD YAM JEWEL JBO,$16.99,1,$16.99,$16.99
2023-06-21,PD PPR BELL GREEN,$10.99,1,$10.99,$10.99
2023-06-21,Sub-Total,$27.98,1,$27.98,$27.98
2023-06-21,Tax,$2.41,1,$2.41,$2.41
2023-06-21,Total,$30.39,1,$30.39,$30.39
2023-06-21,DEBIT    6866,$30.39,1,$30.39,$30.39
2023-06-21,Balance,$0.00,1,$0.00,$0.00
2023-09-19,PD BEET SK 25 LB,$369.17,19,$-7.17,$23.89
2023-09-19,PD CARROT JMBO 25#,$20.81,1,$20.81,$20.81
2023-09-19,PD SPINACH CLEAN,$22.79,4,$-9.36,$20.79
2023-09-19,PD BRUSSEL SPROUT,$1746.96,47,$-62.36,$158.82
2023-09-19,PD SQUASH ITALN MD,$76.80,3,$25.60,$25.60
2023-09-19,PD YAM JEWEL JBO,$19.75,1,$19.75,$19.75
2023-09-19,BF INS RND XT SEL  R/W,$24697.88,177,$-227.12,$371.70
2023-09-19,PD POTATO RED A #2,$52.70,2,$26.35,$26.35
2023-09-19,GLOVE NITRILE MED,$40.88,1,$40.88,$40.88
2023-09-19,GLOVE NITRILE LRG,$46.21,3,$5.11,$35.99
2023-09-19,CHX BRST JMB,$14257.60,228,$44.80,$82.80
2023-09-19,PD BROC CROWNS DW,$95.60,4,$23.90,$23.90
2023-09-19,Sub-Total,$1260.93,1,$1260.93,$1260.93
2023-09-19,Tax,$108.76,1,$108.76,$108.76
2023-09-19,Total,$1369.69,1,$1369.69,$1369.69
2023-09-19,DEBIT    6866,$1369.69,1,$1369.69,$1369.69
2023-09-19,Balance,$0.00,1,$0.00,$0.00
2023-12-05,DAWN HVY DTY PUMP  1GAL,$281.59,11,$24.99,$26.25
2023-12-05,PD CARROT JMBO 25#,$50.08,2,$25.04,$25.04
2023-12-05,PD CILANTRO 30CT,$23.26,3,$-3.70,$14.81
2023-12-05,PD BROC CROWNS DW,$82.04,6,$-20.51,$20.51
2023-12-05,PD SQUASH ITALN MD,$81.84,4,$20.46,$20.46
2023-12-05,PD POTATO RED A #2,$46.62,2,$23.31,$23.31
2023-12-05,CHX BRST JMB,$230.00,5,$46.00,$46.00
2023-12-05,BF INS RND XT SEL  R/W,$272.92,2,$-15.64,$288.56
2023-12-05,PD YAM JEWEL JBO,$18.57,1,$18.57,$18.57
2023-12-05,PD BRUSSEL SPROUT,$34.18,1,$34.18,$34.18
2023-12-05,Sub-Total,$854.07,1,$854.07,$854.07
2023-12-05,Tax,$73.66,1,$73.66,$73.66
2023-12-05,Total,$927.73,1,$927.73,$927.73
2023-12-05,MC/VISA  6866,$8297.89,12,$24.32,$1324.90
2023-12-05,Balance,$0.00,1,$0.00,$0.00
2023-01-11,"STRAINER 14""DBLE M ESH RE",$51.00,1,$51.00,$51.00
2023-01-11,LADLE S/S 2Z 1PC,$3.59,1,$3.59,$3.59
2023-01-11,SAUCE REDHOT PLSTC 1GL  1,$28.56,2,$14.17,$14.39
2023-01-11,VALENTINA BLACK,$53.99,3,$5.73,$24.16
2023-01-11,Sub-Total,$92.86,1,$92.86,$92.86
2023-01-11,Tax,$8.01,1,$8.01,$8.01
2023-01-11,Total,$100.87,1,$100.87,$100.87
2023-01-11,DEBIT    0445,$100.87,1,$100.87,$100.87
2023-01-11,Balance,$0.00,1,$0.00,$0.00
2023-03-27,PD KALE GREEN 24CT,$180.65,13,$-28.69,$28.69
2023-03-27,SCE SWEET CHILI    32Z,$396.81,13,$25.99,$35.79
2023-03-27,CONT SOUP CMB SC16,$31.42,1,$31.42,$31.42
2023-03-27,PD SPINACH CLEAN,$11.36,2,$5.68,$5.68
2023-03-27,PD BROC CROWNS DW,$71.97,2,$-23.99,$95.96
2023-03-27,Sub-Total,$172.06,1,$172.06,$172.06
2023-03-27,Tax,$14.84,1,$14.84,$14.84
2023-03-27,Total,$186.90,1,$186.90,$186.90
2023-03-27,DEBIT    0445,$186.90,1,$186.90,$186.90
2023-03-27,Balance,$0.00,1,$0.00,$0.00
2023-03-27,CHX HAL BRST JMB,$420.00,6,$70.00,$70.00
2023-03-27,CHX HAL LEG QTR SM,$102.40,4,$25.60,$25.60
2023-03-27,BF INS RND XT SEL  R/W,$669.12,4,$-13.84,$259.99
2023-03-27,WINE CKING SHERRY  4/1GL,$447.96,23,$6.54,$20.58
2023-03-27,Sub-Total,$1212.10,1,$1212.10,$1212.10
2023-03-27,Tax,$104.54,1,$104.54,$104.54
2023-03-27,Total,$1316.64,1,$1316.64,$1316.64
2023-03-27,DEBIT    0445,$1316.64,1,$1316.64,$1316.64
2023-03-27,Balance,$0.00,1,$0.00,$0.00
2023-01-17,DAWN ORIGINAL PUMP,$164.20,13,$-124.26,$62.13
2023-01-17,OS CRAISINS        48Z,$9.93,1,$9.93,$9.93
2023-01-17,OIL SESAME LKK     56Z,$18.76,1,$18.76,$18.76
2023-01-17,GREEN LENTILS,$20.00,3,$-20.00,$20.00
2023-01-17,HONEY LT AMBER CQ,$167.73,3,$43.93,$79.74
2023-01-17,GRAPESEED OIL 100%,$82.53,1,$82.53,$82.53
2023-01-17,QUINOA WHITE       5#,$70.89,3,$23.63,$23.63
2023-01-17,ORANGE THUN CITRUS,$35.96,1,$35.96,$35.96
2023-01-17,SALT KOSHER MRTON,$121.36,5,$-5.34,$40.48
2023-01-17,CHX HAL BRST JMB,$250.00,5,$50.00,$50.00
2023-01-17,BF INS RND XT SEL  R/W,$230.72,2,$-22.35,$253.07
2023-01-17,PD BERRY BLUE PINT,$148.74,8,$-53.12,$151.76
2023-01-17,PD SQUASH ITALN MD,$141.78,6,$23.63,$23.63
2023-01-17,PDU CELERY BAG 5CT,$20.46,2,$10.23,$10.23
2023-01-17,PD CABB GREEN SACK,$18.88,1,$18.88,$18.88
2023-01-17,PD POTATO RED A #2,$54.68,2,$27.34,$27.34
2023-01-17,PD CAUL 1CT,$30.85,5,$2.60,$20.45
2023-01-17,PD CARROT JMBO 25#,$24.08,2,$12.04,$12.04
2023-01-17,PD BROC CROWNS DW,$107.76,4,$26.94,$26.94
2023-01-17,PD YAM JEWEL JBO,$35.28,2,$17.64,$17.64
2023-01-17,PD BRUSSEL SPROUT,$52.65,1,$52.65,$52.65
2023-01-17,Sub-Total,$1429.78,1,$1429.78,$1429.78
2023-01-17,Tax,$123.32,1,$123.32,$123.32
2023-01-17,Total,$1553.10,1,$1553.10,$1553.10
2023-01-17,DEBIT    0445,$1553.10,1,$1553.10,$1553.10
2023-01-17,Balance,$0.00,1,$0.00,$0.00
2023-11-24,GLV EXAM NIT BL M,$40.32,2,$5.04,$35.28
2023-11-24,HONEY EXTRA LT AMB,$347.03,9,$-60.35,$88.80
2023-11-24,PD BROC CROWNS DW,$20.51,1,$20.51,$20.51
2023-11-24,BF INS RND XT SEL  R/W,$285.98,2,$-15.50,$301.48
2023-11-24,CONT SOUP CMB SC16,$31.32,1,$31.32,$31.32
2023-11-24,PD CABB GREEN SACK,$24.96,3,$-24.96,$24.96
2023-11-24,PD CELERY BULK,$26.69,1,$26.69,$26.69
2023-11-24,PD POTATO RED A #2,$49.18,2,$24.59,$24.59
2023-11-24,CHX BRST JMB,$184.00,4,$46.00,$46.00
2023-11-24,CHX LEG QTR SM,$46.40,2,$23.20,$23.20
2023-11-24,PD CARROT JMBO 25#,$24.78,1,$24.78,$24.78
2023-11-24,Sub-Total,$762.85,1,$762.85,$762.85
2023-11-24,Tax,$65.80,1,$65.80,$65.80
2023-11-24,Total,$828.65,1,$828.65,$828.65
