"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 25045","Terminal 12 - 11/07/2023 3:34 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
76069557292,"SPC CAJUN SEASONIN 6LB   ",1,0,$25.60
76069500547,"SP ITALIAN SEASNG  2LB   ",1,0,$25.75
2446310116,"SCE SRIRACHA       28Z   ",0,1,$53.37
20772320000,"CHX BRST JMB             ",40,0,$47.60
20772320000,"CHX BRST JMB             ",40,0,$47.60
20772320000,"CHX BRST JMB             ",40,0,$47.60
4473807514,"MILK COCONUT CHAOK 6/#10 ",0,1,$63.50
20776700000,"CHX LEG QTR SM           ",40,0,$24.00
20776700000,"CHX LEG QTR SM           ",40,0,$24.00
20772320000,"CHX BRST JMB             ",40,0,$47.60
62809003004,"PD POTATO RED A #2       ",1,0,$25.22
62809003004,"PD POTATO RED A #2       ",1,0,$25.22
74243400268,"CHILI DICED              ",0,1,$34.61
20798350000,"BF INS RND XT SEL  R/W   ",80.2,0,$328.02
20798350000,"BF INS RND XT SEL  R/W   ",80.2,0,-$16.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
76069503125,"PD BROC CROWNS DW        ",1,0,$21.11
76069503125,"PD BROC CROWNS DW        ",1,0,$21.11
76069503125,"PD BROC CROWNS DW        ",1,0,$21.11
2060059143,"PD CARROT JMBO 25#       ",2,0,$54.10
2060080032,"PD YAM JEWEL JBO         ",1,0,$22.87
2060080032,"PD YAM JEWEL JBO         ",0,45,-$10.29
0,Sub-Total,0,0,$979.74
0,Tax,0,0,$84.50
0,Total,0,0,"$1,064.24"
0,"DEBIT    6866",0,0,"$1,064.24"
0,Balance,0,0,$0.00
