"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 8163","Terminal 12 - 02/05/2024 12:24 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060067164,"PD PINEAPPLE LGE         ",1,0,$20.25
2060067164,"PD PINEAPPLE LGE         ",-1,0,-$20.25
2060067164,"PD PINEAPPLE LGE         ",2,0,$40.50
2060067164,"PD PINEAPPLE LGE         ",0,35,-$14.18
20798350000,"BF INS RND XT SEL  R/W   ",78,0,$276.12
20798350000,"BF INS RND XT SEL  R/W   ",78,0,-$15.60
2060042513,"PD GINGER FRSH 28#       ",1,0,$38.83
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.17
20772320000,"CHX BRST JMB             ",40,0,$57.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
20772320000,"CHX BRST JMB             ",40,0,$57.20
20772320000,"CHX BRST JMB             ",40,0,$57.20
20772320000,"CHX BRST JMB             ",40,0,$57.20
20776700000,"CHX LEG QTR SM           ",40,0,$26.00
76069503164,"BEAN BLACK               ",1,0,$18.04
76069503351,"BEAN SMALL RED           ",1,0,$20.92
20772320000,"CHX BRST JMB             ",40,0,$57.20
61070809790,"PD HRB DILL 1LB          ",1,0,$6.98
84046511082,"PD MICRO CILANTRO        ",1,0,$11.67
0,Sub-Total,0,0,$773.05
0,Tax,0,0,$66.68
0,Total,0,0,$839.73
0,"DEBIT    6866",0,0,$839.73
0,Balance,0,0,$0.00
