"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 994","Terminal 11 - 01/17/2023 12:27 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
3700008310,"DAWN ORIGINAL PUMP       ",1,0,$16.19
3120000678,"OS CRAISINS        48Z   ",1,0,$9.93
7889515082,"OIL SESAME LKK     56Z   ",1,0,$18.76
76069503347,"GREEN LENTILS            ",1,0,$20.00
76069503347,"GREEN LENTILS            ",-1,0,-$20.00
76069503347,"GREEN LENTILS            ",1,0,$20.00
76069500823,"HONEY LT AMBER CQ        ",0,1,$79.74
9492247024,"GRAPESEED OIL 100%       ",0,1,$82.53
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
76069500627,"ORANGE THUN CITRUS       ",0,1,$35.96
2460001702,"SALT KOSHER MRTON        ",0,1,$40.40
20795010000,"CHX HAL BRST JMB         ",40,0,$50.00
20795010000,"CHX HAL BRST JMB         ",40,0,$50.00
20795010000,"CHX HAL BRST JMB         ",40,0,$50.00
20795010000,"CHX HAL BRST JMB         ",40,0,$50.00
20795010000,"CHX HAL BRST JMB         ",40,0,$50.00
20798350000,"BF INS RND XT SEL  R/W   ",72.1,0,$253.07
20798350000,"BF INS RND XT SEL  R/W   ",72.1,0,-$22.35
2060044503,"PD BERRY BLUE PINT       ",0,2,$151.76
2060044503,"PD BERRY BLUE PINT       ",0,35,-$53.12
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
2060042750,"PD SQUASH ITALN MD       ",1,0,$23.63
740695425596,"PDU CELERY BAG 5CT       ",1,0,$10.23
740695425596,"PDU CELERY BAG 5CT       ",1,0,$10.23
2060042625,"PD CABB GREEN SACK       ",1,0,$18.88
2060080007,"PD POTATO RED A #2       ",1,0,$27.34
740695699997,"PD CAUL 1CT              ",0,1,$20.45
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060042791,"PD BROC CROWNS DW        ",1,0,$26.94
2060042791,"PD BROC CROWNS DW        ",1,0,$26.94
2060042791,"PD BROC CROWNS DW        ",1,0,$26.94
2060042791,"PD BROC CROWNS DW        ",1,0,$26.94
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.64
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.64
5286711735,"PD BRUSSEL SPROUT        ",1,0,$52.65
2060080007,"PD POTATO RED A #2       ",1,0,$27.34
0,Sub-Total,0,0,"$1,429.78"
0,Tax,0,0,$123.32
0,Total,0,0,"$1,553.10"
0,"DEBIT    0445",0,0,"$1,553.10"
0,Balance,0,0,$0.00
