"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 1535","Terminal 13 - 02/05/2024 11:54 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
4473807234,"SCE SWEET CHILI    32Z   ",0,1,$25.99
61070809791,"PD HRB BASIL 1LB         ",1,0,$6.12
61070809791,"PD HRB BASIL 1LB         ",1,0,$6.12
7143084115,"PD CAUL 1CT              ",1,0,$2.60
7143084115,"PD CAUL 1CT              ",1,0,$2.60
7143084115,"PD CAUL 1CT              ",1,0,$2.60
7143084115,"PD CAUL 1CT              ",1,0,$2.60
2060059143,"PD CARROT JMBO 25#       ",1,0,$13.99
2060042791,"PD BROC CROWNS DW        ",1,0,$12.68
2060042791,"PD BROC CROWNS DW        ",1,0,$12.68
2060042791,"PD BROC CROWNS DW        ",1,0,$12.68
85000897604,"PD SQUASH ITALN MD       ",1,0,$47.61
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
61823176433,"FSH SNAPPER 1-2          ",1,0,$51.88
81004390121,"SHRP P&D TO 16-20        ",0,1,$48.11
85176800272,"PD BRUSSEL SPROUT        ",1,0,$33.54
85176800272,"PD BRUSSEL SPROUT        ",1,0,$33.54
85106300214,"PD YAM JEWEL JBO         ",1,0,$18.19
3077208728,"DAWN HVY DTY PUMP  1GAL  ",1,0,$25.67
81193602037,"PD CELERY BULK           ",1,0,$24.63
76069500627,"ORANGE THUN CITRUS       ",0,1,$35.78
3338345566,"PD POTATO RED A #2       ",2,0,$46.62
3338345566,"PD POTATO RED A #2       ",0,35,-$16.32
61070809791,"PD HRB BASIL 1LB         ",-2,0,-$12.24
61070809791,"PD HRB BASIL 1LB         ",2,0,$12.24
61070809791,"PD HRB BASIL 1LB         ",0,40,-$4.90
0,Sub-Total,0,0,$491.09
0,Tax,0,0,$42.36
0,Total,0,0,$533.45
0,"DEBIT    6866",0,0,$533.45
0,Balance,0,0,$0.00
