"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 19259","Terminal 11 - 06/13/2023 11:18 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060059143,"PD CARROT JMBO 25#       ",3,0,$29.85
76069533705,"REG ROLL 7313SP          ",1,0,$21.06
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$23.70
76069500768,"SCRUBBER S/S 35G         ",1,0,$7.40
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
2060042750,"PD SQUASH ITALN MD       ",4,0,$59.80
76069503125,"PD BROC CROWNS DW        ",4,0,$96.72
30714061614,"FRY PAN COATED 14I       ",0,1,$229.20
76069502248,"CONT SOUP CMB SC12       ",1,0,$29.62
30714061614,"FRY PAN COATED 14I       ",0,-1,-$229.20
30714061614,"FRY PAN COATED 14I       ",1,0,$38.20
30714061614,"FRY PAN COATED 14I       ",1,0,$38.20
4473807514,"MILK COCONUT CHAOK 6/#10 ",0,1,$67.63
2060080007,"PD POTATO RED A #2       ",1,0,$28.46
2060080007,"PD POTATO RED A #2       ",1,0,$28.46
2060042761,"PD YAM JEWEL JBO         ",1,0,$16.99
2060044198,"PD MUSH CRIMINI 5#       ",1,0,$16.35
2060044198,"PD MUSH CRIMINI 5#       ",0,25,-$4.09
2060042542,"PD MUSH PORTABELLA       ",2,0,$35.50
2060042542,"PD MUSH PORTABELLA       ",0,25,-$8.88
85176800272,"PD BRUSSEL SPROUT        ",1,0,$58.36
85176800272,"PD BRUSSEL SPROUT        ",0,25,-$14.59
0,Sub-Total,0,0,$592.37
0,Tax,0,0,$51.09
0,Total,0,0,$643.46
0,"DEBIT    6866",0,0,$643.46
0,Balance,0,0,$0.00
