"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 12487","Terminal 12 - 03/05/2024 1:15 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
81978601784,"FSH TUNA STEAK 4Z        ",2,0,$60.00
81978601784,"FSH TUNA STEAK 4Z        ",0,50,-$30.00
76069533489,"GLV EXAM NIT BL LG       ",0,1,$35.28
85101400813,"PD BEAN GRN TRIMED       ",1,0,$12.63
7127038559,"QUINOA WHITE       5#    ",0,2,$46.08
4143000669,"SALT IODIZED ROUND       ",0,1,$14.89
76069502249,"CONT SOUP CMB SC16       ",1,0,$31.32
76069502248,"CONT SOUP CMB SC12       ",1,0,$29.69
76069502248,"CONT SOUP CMB SC12       ",1,0,$29.69
76069502250,"CONT SOUP CMB SC24       ",1,0,$38.36
81814701055,"FSH SALM PINK 6Z         ",1,0,$41.93
81004390121,"SHRP P&D TO 16-20        ",0,1,$45.00
3077202287,"DAWN-MSHD DGRSR          ",1,0,$23.33
3077208728,"DAWN HVY DTY PUMP  1GAL  ",1,0,$25.67
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20771200000,"BF INS RDN XT CH   R/W   ",19.57,0,$82.19
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
20798350000,"BF INS RND XT SEL  R/W   ",75.3,0,$311.74
20798350000,"BF INS RND XT SEL  R/W   ",75.3,0,-$15.06
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
8437004591432,"PD GARLIC SPAINPLD       ",1,0,$18.70
85724000340,"PD SQUASH ITALN MD       ",1,0,$12.12
85724000340,"PD SQUASH ITALN MD       ",1,0,$12.12
2060042710,"PD PPR JALAPENO CS       ",1,0,$25.90
3307490183,"PD TOMATILLO CS          ",1,0,$29.90
2060080032,"PD YAM JEWEL JBO         ",1,0,$18.19
81193602037,"PD CELERY BULK           ",1,0,$23.46
2060042791,"PD BROC CROWNS DW        ",1,0,$18.10
74410199000,"PD PINEAPPLE LGE         ",1,0,$20.34
74410199000,"PD PINEAPPLE LGE         ",0,35,-$7.12
2060042647,"PD HRB MINT              ",1,0,$6.09
2060042647,"PD HRB MINT              ",0,30,-$1.83
2060080007,"PD POTATO RED A #2       ",1,0,$18.50
70510599237,"PD BEET SK 25 LB         ",1,0,$22.15
62809003004,"PD POTATO RED A #2       ",1,0,$18.50
2060042545,"PD ONION YEL JBO         ",1,0,$30.32
72906299188,"PD ONION RED 25#         ",1,0,$21.60
2060042625,"PD CABB GREEN SACK       ",1,0,$17.77
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.91
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.91
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.91
0,Sub-Total,0,0,"$1,608.68"
0,Tax,0,0,$137.14
0,Total,0,0,"$1,745.82"
0,"DEBIT    6866",0,0,"$1,745.82"
0,Balance,0,0,$0.00
