"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 8527","Terminal 11 - 03/20/2023 3:28 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.20
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.20
20798350000,"BF INS RND XT SEL  R/W   ",77.6,0,$263.84
20798350000,"BF INS RND XT SEL  R/W   ",77.6,0,-$16.30
20798350000,"BF INS RND XT SEL  R/W   ",72.7,0,$231.92
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.20
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20795010000,"CHX HAL BRST JMB         ",40,0,$66.80
20798350000,"BF INS RND XT SEL  R/W   ",72.2,0,$230.32
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.17
81193602037,"PD CELERY BULK           ",1,0,$31.53
2060042545,"PD ONION YEL JBO         ",1,0,$20.67
2060042625,"PD CABB GREEN SACK       ",1,0,$17.18
2060042791,"PD BROC CROWNS DW        ",1,0,$24.88
2060042791,"PD BROC CROWNS DW        ",1,0,$24.88
2060042791,"PD BROC CROWNS DW        ",1,0,$24.88
2060042791,"PD BROC CROWNS DW        ",1,0,$24.88
2060042791,"PD BROC CROWNS DW        ",1,0,$24.88
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.64
2060044658,"PD BRUSSEL SPROUT        ",1,0,$31.85
2060044658,"PD BRUSSEL SPROUT        ",1,0,$31.85
0,Sub-Total,0,0,"$1,756.32"
0,Tax,0,0,$151.48
0,Total,0,0,"$1,907.80"
0,"DEBIT    0445",0,0,"$1,907.80"
0,Balance,0,0,$0.00
