"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 4309","Terminal 14 - 03/19/2024 1:23 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
67035498875,"TOWEL TERRY 75CT   75CT  ",1,0,$29.01
76069557368,"SPC GRAN ONION     5#    ",1,0,$22.49
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
76069501857,"SYRUP MOLASSES CQ        ",1,0,$19.79
76335203031,"WINE CKING SHERRY  4/1GL ",0,1,$20.17
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.79
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.79
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.79
70510599237,"PD BEET SK 25 LB         ",1,0,$22.15
70510599237,"PD BEET SK 25 LB         ",1,0,$22.15
76069503125,"PD BROC CROWNS DW        ",1,0,$18.00
76069503125,"PD BROC CROWNS DW        ",1,0,$18.00
76069503125,"PD BROC CROWNS DW        ",1,0,$18.00
76069503125,"PD BROC CROWNS DW        ",1,0,$18.00
2060042558,"PD CELERY BULK           ",1,0,$22.20
89951700233,"PD SQUASH ITALN MD       ",1,0,$9.94
89951700233,"PD SQUASH ITALN MD       ",1,0,$9.94
89951700233,"PD SQUASH ITALN MD       ",1,0,$9.94
89951700233,"PD SQUASH ITALN MD       ",1,0,$9.94
76069502250,"CONT SOUP CMB SC24       ",1,0,$38.36
76069533489,"GLV EXAM NIT BL LG       ",0,1,$35.28
76069503164,"BEAN BLACK               ",1,0,$18.53
2060080032,"PD YAM JEWEL JBO         ",1,0,$18.19
76069502248,"CONT SOUP CMB SC12       ",1,0,$27.94
76069502248,"CONT SOUP CMB SC12       ",1,0,$27.94
81814701055,"FSH SALM PINK 6Z         ",1,0,$41.93
20776700000,"CHX LEG QTR SM           ",40,0,$26.80
20776700000,"CHX LEG QTR SM           ",40,0,$26.80
20776700000,"CHX LEG QTR SM           ",40,0,$26.80
20772320000,"CHX BRST JMB             ",40,0,$75.60
20772320000,"CHX BRST JMB             ",40,0,$75.60
20772320000,"CHX BRST JMB             ",40,0,$75.60
20772320000,"CHX BRST JMB             ",40,0,$75.60
20772320000,"CHX BRST JMB             ",40,0,$75.60
20772320000,"CHX BRST JMB             ",40,0,$75.60
74243400268,"CHILI DICED              ",0,1,$34.61
7241245001,"VINEGR WINE RED    1GL   ",1,0,$10.02
62809003004,"PD POTATO RED A #2       ",1,0,$22.76
62809003004,"PD POTATO RED A #2       ",1,0,$22.76
20771200000,"BF INS RDN XT CH   R/W   ",78.8,0,$350.66
20771200000,"BF INS RDN XT CH   R/W   ",78.8,0,-$15.76
89440700109,"SHRP P&D TO 16-20        ",0,1,$45.00
0,Sub-Total,0,0,"$1,601.43"
0,Tax,0,0,$138.12
0,Total,0,0,"$1,739.55"
0,"DEBIT    6866",0,0,"$1,739.55"
0,Balance,0,0,$0.00
