"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 9786","Terminal 13 - 04/04/2023 5:34 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
3700008310,"DAWN ORIGINAL PUMP       ",1,0,$16.61
2956412817,"FSH SCAL DRY 8-9         ",1,0,$135.35
20401560000,"RF SALMON COHO FLT       ",3.03,0,$21.18
20401560000,"RF SALMON COHO FLT       ",2.9,0,$20.27
20798350000,"BF INS RND XT SEL  R/W   ",22.9,0,$77.63
20798350000,"BF INS RND XT SEL  R/W   ",25.72,0,$87.19
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.40
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795010000,"CHX HAL BRST JMB         ",40,0,$72.40
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.40
20798350000,"BF INS RND XT SEL  R/W   ",64,0,$216.96
20798350000,"BF INS RND XT SEL  R/W   ",64,0,-$23.65
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$23.93
76069557288,"SPC PEPR BLK GRND  5LB   ",1,0,$21.90
71575620002,"PD STRAWBERRY NATL       ",1,0,$5.59
2060079216,"PDU PPR HABANERO2#       ",1,0,$7.71
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060042625,"PD CABB GREEN SACK       ",1,0,$20.29
2060080007,"PD POTATO RED A #2       ",1,0,$28.40
2060042750,"PD SQUASH ITALN MD       ",1,0,$11.54
2060042750,"PD SQUASH ITALN MD       ",1,0,$11.54
2060042750,"PD SQUASH ITALN MD       ",1,0,$11.54
85159800733,"GLOVE NITRILE MED        ",0,1,$24.43
2060042722,"PD SQUASH YLW MED        ",1,0,$14.30
2060044658,"PD BRUSSEL SPROUT        ",1,0,$31.09
76069502249,"CONT SOUP CMB SC16       ",1,0,$31.42
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.64
80169881767,"FRY PAN COATED 14I       ",1,0,$38.20
80169881767,"FRY PAN COATED 14I       ",1,0,$38.20
80169881767,"FRY PAN COATED 14I       ",1,0,$38.20
82373401451,"PD ORG HERB MIX          ",1,0,$8.80
82373401451,"PD ORG HERB MIX          ",-1,0,-$8.80
88811750473,"CHZ GOUDA SLICED         ",1,0,$12.76
88811750473,"CHZ GOUDA SLICED         ",-1,0,-$12.76
83,"DAMAGES DELI",1,0,$20.00
83,"DAMAGES DELI",-1,0,$3.00
83,"DAMAGES DELI",-1,0,$4.00
0,Sub-Total,0,0,"$1,718.60"
0,Tax,0,0,$145.90
0,Total,0,0,"$1,864.50"
0,"DEBIT    0445",0,0,"$1,864.50"
0,Balance,0,0,$0.00
