"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 4473","Terminal 12 - 01/09/2024 2:42 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
61070809797,"PD HRB OREGANO           ",2,0,$14.08
61070809797,"PD HRB OREGANO           ",0,45,-$6.34
61070809795,"PD HRB THYME 1LB         ",2,0,$12.54
61070809795,"PD HRB THYME 1LB         ",0,45,-$5.64
61070809794,"PD HRB ROSEMARY          ",4,0,$26.56
61070809794,"PD HRB ROSEMARY          ",0,45,-$11.95
813831016273,"PD KALE GREEN 24CT       ",1,0,$25.84
813831016273,"PD KALE GREEN 24CT       ",0,45,-$11.63
736732803045,"PD MUSH SLICED 10#       ",1,0,$24.76
736732803045,"PD MUSH SLICED 10#       ",0,45,-$11.14
2060044198,"PD MUSH CRIMINI 5#       ",1,0,$16.66
2060044198,"PD MUSH CRIMINI 5#       ",0,45,-$7.50
76069500823,"HONEY LT AMBER CQ        ",0,1,$44.06
76069557287,"SPC PEPPR BLK CAFE 5LB   ",1,0,$32.40
2060044685,"PDU LEMON 5#             ",1,0,$6.70
2060059143,"PD CARROT JMBO 25#       ",1,0,$14.81
2060059143,"PD CARROT JMBO 25#       ",1,0,$14.81
2060059143,"PD CARROT JMBO 25#       ",1,0,$14.81
2060042578,"PD BEET SK 25 LB         ",1,0,$22.15
2060042578,"PD BEET SK 25 LB         ",1,0,$22.15
85176800272,"PD BRUSSEL SPROUT        ",1,0,$35.43
2060067164,"PD PINEAPPLE LGE         ",2,0,$33.90
2060067164,"PD PINEAPPLE LGE         ",0,35,-$11.86
76069503125,"PD BROC CROWNS DW        ",1,0,$23.88
76069503125,"PD BROC CROWNS DW        ",1,0,$23.88
76069503125,"PD BROC CROWNS DW        ",1,0,$23.88
85000897604,"PD SQUASH ITALN MD       ",1,0,$36.09
85000897604,"PD SQUASH ITALN MD       ",1,0,$36.09
62809003004,"PD POTATO RED A #2       ",1,0,$23.31
62809003004,"PD POTATO RED A #2       ",1,0,$23.31
2060042545,"PD ONION YEL JBO         ",1,0,$23.14
85106300214,"PD YAM JEWEL JBO         ",1,0,$18.57
0,Sub-Total,0,0,$527.75
0,Tax,0,0,$45.52
0,Total,0,0,$573.27
0,"DEBIT    6866",0,0,$573.27
0,Balance,0,0,$0.00
