"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 14018","Terminal 12 - 04/09/2024 1:40 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
20798350000,"BF INS RND XT SEL  R/W   ",20.35,0,$81.81
81935701371,"FSH SALM PINK 6Z         ",1,0,$41.93
3700008310,"DAWN ORIGINAL PUMP       ",1,0,$16.40
76069503164,"BEAN BLACK               ",1,0,$19.22
85000897604,"PD SQUASH ITALN MD       ",1,0,$9.99
85000897604,"PD SQUASH ITALN MD       ",1,0,$9.99
85000897604,"PD SQUASH ITALN MD       ",1,0,$9.99
20798350000,"BF INS RND XT SEL  R/W   ",76.8,0,$308.73
20798350000,"BF INS RND XT SEL  R/W   ",76.8,0,-$19.43
85000897604,"PD SQUASH ITALN MD       ",1,0,$9.99
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
20776700000,"CHX LEG QTR SM           ",40,0,$26.40
76069503125,"PD BROC CROWNS DW        ",1,0,$21.27
76069503125,"PD BROC CROWNS DW        ",1,0,$21.27
81004390121,"SHRP P&D TO 16-20        ",0,1,$53.74
20445420000,"FSH TUNA AHI LOIN        ",30,0,$179.70
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
2060042545,"PD ONION YEL JBO         ",1,0,$28.75
81193602037,"PD CELERY BULK           ",1,0,$27.31
76069503125,"PD BROC CROWNS DW        ",1,0,$21.27
0,Sub-Total,0,0,$967.21
0,Tax,0,0,$83.42
0,Total,0,0,"$1,050.63"
0,"DEBIT    6866",0,0,"$1,050.63"
0,Balance,0,0,$0.00
