"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 5216","Terminal 12 - 01/16/2024 10:41 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,-$179.50
76069557368,"SPC GRAN ONION     5#    ",1,0,$22.49
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$24.31
3485616803,"WELCHS FRUIT SNACK 2.25OZ",3,0,$31.47
3077208728,"DAWN HVY DTY PUMP  1GAL  ",1,0,$25.67
20772320000,"CHX BRST JMB             ",40,0,$54.80
20772320000,"CHX BRST JMB             ",40,0,$54.80
20772320000,"CHX BRST JMB             ",40,0,$54.80
20772320000,"CHX BRST JMB             ",40,0,$54.80
20772320000,"CHX BRST JMB             ",40,0,$54.80
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.17
20798350000,"BF INS RND XT SEL  R/W   ",66.7,0,$209.44
20798350000,"BF INS RND XT SEL  R/W   ",66.7,0,-$13.34
2060042835,"PD MUSH MEDIUM 10#       ",2,0,$47.42
2060042835,"PD MUSH MEDIUM 10#       ",0,45,-$21.34
3485616803,"WELCHS FRUIT SNACK 2.25OZ",-3,0,-$31.47
3485616803,"WELCHS FRUIT SNACK 2.25OZ",3,0,$31.47
3485616803,"WELCHS FRUIT SNACK 2.25OZ",0,45,-$14.16
85000897604,"PD SQUASH ITALN MD       ",3,0,$123.03
85000897604,"PD SQUASH ITALN MD       ",0,30,-$36.91
2060042625,"PD CABB GREEN SACK       ",1,0,$18.72
76069533489,"GLV EXAM NIT BL LG       ",0,1,$35.28
76069502248,"CONT SOUP CMB SC12       ",1,0,$29.69
81004390121,"SHRP P&D TO 16-20        ",0,1,$48.90
76069502249,"CONT SOUP CMB SC16       ",1,0,$31.32
62809003004,"PD POTATO RED A #2       ",1,0,$23.31
81193602037,"PD CELERY BULK           ",1,0,$29.67
76069503125,"PD BROC CROWNS DW        ",1,0,$21.17
76069503125,"PD BROC CROWNS DW        ",1,0,$21.17
85106300214,"PD YAM JEWEL JBO         ",1,0,$18.57
62809003004,"PD POTATO RED A #2       ",1,0,$23.31
73296600557,"PD PPR JALAPENO 5#       ",1,0,$5.48
854067004132,"PD CARROT JMBO 25#       ",1,0,$14.81
854067004132,"PD CARROT JMBO 25#       ",1,0,$14.81
76069502214,"MOP CTN EXT HVY          ",1,0,$9.92
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
0,Sub-Total,0,0,"$1,157.66"
0,Tax,0,0,$99.85
0,Total,0,0,"$1,257.51"
0,"DEBIT    6866",0,0,"$1,078.01"
0,Balance,0,0,$179.50
