"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 8535","Terminal 11 - 03/20/2023 4:13 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
750302588110,"PD BERRY BLACK 6OZ       ",0,1,$34.94
85620000556,"TOM SUNDRY JULIENN 5LB   ",1,0,$16.60
76069557358,"SPC THYME          2LB   ",1,0,$18.90
61070809790,"PD HRB DILL 1LB          ",1,0,$6.67
2060042647,"PD HRB MINT              ",1,0,$5.83
61070809795,"PD HRB THYME 1LB         ",1,0,$6.37
61070809791,"PD HRB BASIL 1LB         ",1,0,$5.83
61070809791,"PD HRB BASIL 1LB         ",1,0,$5.83
2060056266,"PD CUCUMBER HH BLK       ",1,0,$29.85
76069500547,"SP ITALIAN SEASNG  2LB   ",1,0,$25.21
7241250050,"VINEGAR CIDER 4%   1GL   ",1,0,$6.96
7241245001,"VINEGR WINE RED    1GL   ",1,0,$9.49
7241245001,"VINEGR WINE RED    1GL   ",1,0,$9.49
2460001702,"SALT KOSHER MRTON        ",0,1,$40.48
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
67035498875,"TOWEL TERRY 75CT   75CT  ",1,0,$28.76
85159800733,"GLOVE NITRILE MED        ",0,1,$39.50
9492247024,"GRAPESEED OIL 100%       ",0,1,$79.99
2060042648,"PD MUSH SMALL 10LB       ",1,0,$32.83
2060042648,"PD MUSH SMALL 10LB       ",0,25,-$8.21
2060044198,"PD MUSH CRIMINI 5#       ",1,0,$18.02
2060044198,"PD MUSH CRIMINI 5#       ",0,25,-$4.50
74243400268,"CHILI DICED              ",0,1,$33.14
0,Sub-Total,0,0,$454.02
0,Tax,0,0,$39.16
0,Total,0,0,$493.18
0,"DEBIT    0445",0,0,$493.18
0,Balance,0,0,$0.00
