"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 3566","Terminal 13 - 02/10/2023 5:29 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$21.95
76069557368,"SPC GRAN ONION     5#    ",1,0,$27.62
3700008310,"DAWN ORIGINAL PUMP       ",1,0,$16.23
2060042714,"PD PPR BELL RED LG       ",1,0,$19.76
20795030000,"CHX HAL LEG QTR SM       ",40,0,$24.80
20795010000,"CHX HAL BRST JMB         ",40,0,$50.40
20795010000,"CHX HAL BRST JMB         ",40,0,$50.40
20795010000,"CHX HAL BRST JMB         ",40,0,$50.40
20795010000,"CHX HAL BRST JMB         ",40,0,$50.40
20795030000,"CHX HAL LEG QTR SM       ",40,0,$24.80
20795010000,"CHX HAL BRST JMB         ",40,0,$50.40
20798350000,"BF INS RND XT SEL  R/W   ",64.6,0,$219.64
20798350000,"BF INS RND XT SEL  R/W   ",64.6,0,-$20.03
85000897606,"PD PPR BELL GREEN        ",1,0,$16.49
20798350000,"BF INS RND XT SEL  R/W   ",64.4,0,$199.00
2060044128,"PD ORANGE 88CT           ",1,0,$23.99
2060044128,"PD ORANGE 88CT           ",0,35,-$8.40
20798350000,"BF INS RND XT SEL  R/W   ",61.2,0,$189.11
85000897604,"PD SQUASH ITALN MD       ",1,0,$13.42
854067004002,"PD BROC CROWNS DW        ",6,0,$122.40
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.42
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.42
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.42
2060044658,"PD BRUSSEL SPROUT        ",1,0,$35.74
81193602037,"PD CELERY BULK           ",1,0,$44.73
2060080007,"PD POTATO RED A #2       ",1,0,$27.34
5106000343,"PD YAM JEWEL JBO         ",1,0,$17.64
2060080007,"PD POTATO RED A #2       ",1,0,$27.34
0,Sub-Total,0,0,"$1,371.95"
0,Tax,0,0,$118.33
0,Total,0,0,"$1,490.28"
0,"DEBIT    0445",0,0,"$1,490.28"
0,Balance,0,0,$0.00
