"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 6342","Terminal 12 - 07/21/2023 12:52 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
72906299188,"PD ONION RED 25#         ",1,0,$17.61
2060059143,"PD CARROT JMBO 25#       ",1,0,$18.97
2060059143,"PD CARROT JMBO 25#       ",1,0,$18.97
8437004591432,"PD GARLIC SPAINPLD       ",1,0,$15.69
61070809791,"PD HRB BASIL 1LB         ",1,0,$6.16
61070809790,"PD HRB DILL 1LB          ",1,0,$6.67
61070809795,"PD HRB THYME 1LB         ",1,0,$6.37
85000897604,"PD SQUASH ITALN MD       ",1,0,$21.61
85000897604,"PD SQUASH ITALN MD       ",1,0,$21.61
85000897604,"PD SQUASH ITALN MD       ",1,0,$21.61
2060042791,"PD BROC CROWNS DW        ",4,0,$93.88
2060042532,"PD LIMES 200CT           ",1,0,$29.05
2060080007,"PD POTATO RED A #2       ",1,0,$39.80
2060080007,"PD POTATO RED A #2       ",1,0,$39.80
2298001752,"PD YAM JEWEL JBO         ",1,0,$19.20
2298001752,"PD YAM JEWEL JBO         ",1,0,$19.20
2060056266,"PD CUCUMBER HH BLK       ",1,0,$28.20
71575620002,"PD STRAWBERRY NATL       ",0,1,$21.03
71575620002,"PD STRAWBERRY NATL       ",0,50,-$10.52
2060073004,"PD PPR HABANERO CS       ",1,0,$52.45
2060073004,"PD PPR HABANERO CS       ",0,3,-$1.57
2060042760,"PD TOMATO 25LB XL        ",1,0,$23.85
2060042760,"PD TOMATO 25LB XL        ",0,5,-$1.19
0,Sub-Total,0,0,$508.45
0,Tax,0,0,$42.50
0,Total,0,0,$550.95
0,"MC/VISA  6866",0,0,$550.95
0,Balance,0,0,$0.00
