Item,Total,Count,Min,Max
Item: BF FEET CUT/SLICED FRZ,64.8,3,21.6,21.6
Item: PD GRNS COLLARD 24,64.5,5,-16.38,32.76
Item: PD TOMATO ROMA XL,63.4,6,-14.37,41.07
Item: SAUCE FISH SQUID   25Z,62.94,3,3.17,29.96
Item: LID SFL 3.25-5Z,61.71,2,27.39,34.32
Item: FSH SALM CHUM 6Z,58.9,1,58.9,58.9
Item: CAM RND 22QT WHT,58.11,3,19.37,19.37
Item: PD MUSH CRIMINI 5#,57.62,10,-7.5,18.02
Item: PD LEMON CH 75/115,57.13,3,-10.85,36.99
Item: PD MUSH SMALL 10LB,56.49,6,-63.74,63.74
Item: PD HRB DILL 1LB,56.43,13,-6.67,6.98
Item: PD CARROT BULK 50#,54.46,7,-18.68,19.42
Item: VALENTINA BLACK,53.99,3,5.73,24.16
Item: SPRAY HEAD LL,53.4,1,53.4,53.4
Item: SCE SRIRACHA       28Z,53.37,1,53.37,53.37
Item: FSH SNAPPER 1-2,51.88,1,51.88,51.88
Item: FSH SQUID RING,51.37,1,51.37,51.37
Item: PDU LEMON 5#,51.32,6,-9.64,38.55
"Item: STRAINER 14""DBLE M ESH RE",51.0,1,51.0,51.0
Item: PD PPR HABANERO CS,50.88,2,-1.57,52.45
Item: VINEGAR BLSMC 1DMD 5LTR,49.48,3,15.34,17.19
Item: PDU GINGER FR 5LBS,49.06,8,-20.3,29.76
Item: CUP SFL 5.5Z,47.65,1,47.65,47.65
Item: PD BEET 5 LB,46.62,1,46.62,46.62
Item: FSH FAROE SALM 8Z,46.25,1,46.25,46.25
Item: GLOVE NITRILE LRG,46.21,3,5.11,35.99
Item: BEAN GARBANZO,46.12,3,6.16,21.51
Item: RED LIGHT KIDNEY   25#,45.2,2,21.81,23.39
Item: SHRP P&D TO 21-25,43.9,1,43.9,43.9
Item: SALT SEA FINE DD,43.77,2,21.01,22.76
Item: PD LETT ROMAINE HT,42.35,4,-10.79,43.15
Item: PD AVOCADO HASS HG,42.07,4,-20.39,45.31
Item: QUALITE MIX GLASS,41.99,4,-9.33,37.32
Item: PD MELON HONEY,41.45,5,-9.88,21.9
Item: GLV EXAM NIT BL M,40.32,2,5.04,35.28
Item: OIL SEASAME PURE   56Z,40.23,2,19.8,20.43
Item: RF SHRP U/15 GULF,39.95,1,39.95,39.95
Item: SHRP P&D TO 26-30,39.9,1,39.9,39.9
Item: PD GINGER FRSH 28#,38.83,1,38.83,38.83
Item: PD BEAN GRN TRIMED,38.72,3,-17.4,43.49
Item: NICOLE DINNER FORK DZN,38.7,3,12.9,12.9
Item: PD WATERMELON BIN,38.33,4,-27.82,55.65
Item: PD CARROT BAG 10#,36.0,1,36.0,36.0
Item: PD PPR SERRANO CS,35.51,2,-11.84,47.35
Item: SALT KOSHER MORTON,35.22,1,35.22,35.22
Item: PD MELON CANT,35.22,3,-8.02,23.18
Item: TOM SUNDRY JULIENN 5LB,35.06,3,-6.15,24.61
Item: PD LEMON CH 140,34.08,1,34.08,34.08
Item: TEA SWETND CONC,33.89,2,16.91,16.98
Item: BF GRND 80%        R/W,33.87,1,33.87,33.87
Item: FIGS BLACK         28Z,33.02,2,15.54,17.48
Item: SPC PEPPR BLK CAFE 5LB,32.4,1,32.4,32.4
Item: PD CAUL 1CT,30.85,5,2.6,20.45
Item: PD HRB THYME 1LB,30.48,7,-5.64,12.54
Item: FSH TUNA STEAK 4Z,30.0,2,-30.0,60.0
Item: VINEGAR WHITE HENZ 1GL,28.79,1,28.79,28.79
Item: SAUCE REDHOT PLSTC 1GL  1,28.56,2,14.17,14.39
Item: PD ORG ARUGULA BBY,28.26,6,-3.14,12.56
Item: SYRUP MAPLE 64Z,25.68,1,25.68,25.68
Item: RED LENTILS,24.63,1,24.63,24.63
Item: PD HRB OREGANO,24.5,7,-6.34,14.08
Item: PD ORANGE 113CT,24.47,1,24.47,24.47
Item: XX CHX LEG QTR FRZ 40#,24.0,4,-4.0,16.0
Item: PD PPR PASILLA CS,23.35,2,-15.56,38.91
Item: DAWN-MSHD DGRSR,23.33,1,23.33,23.33
Item: PD COCONUT YOUNG,23.3,1,23.3,23.3
Item: PD CILANTRO 30CT,23.26,3,-3.7,14.81
Item: PD SPINACH CLEAN,22.79,4,-9.36,20.79
Item: QUINOA RED         2/5#,22.56,1,22.56,22.56
Item: JARRITOS VP GLASS  12.5Z,22.39,1,22.39,22.39
Item: CRAWFISH 150/200CT,21.42,2,10.71,10.71
Item: PD HRB ROSEMARY,21.36,3,-11.95,26.56
Item: VINEGAR BALSMC 3DM 2/5LTR,21.19,1,21.19,21.19
Item: PD HRB MINT,21.15,9,-3.09,6.18
Item: REG ROLL 7313SP,21.06,1,21.06,21.06
Item: BEAN SMALL RED,20.92,1,20.92,20.92
Item: NICOLE SALAD FORK  DZ,20.8,2,10.4,10.4
Item: MUSTARD GRY POUPON 48Z,20.62,1,20.62,20.62
Item: THERMOMETER OVEN   3506,20.5,2,10.25,10.25
Item: PDU CELERY BAG 5CT,20.46,2,10.23,10.23
Item: NICOLE BOUIL SPN   1DZ,20.34,2,10.17,10.17
Item: PDU PPR HABANERO2#,20.31,2,7.71,12.6
Item: PEPPER CHILI DRIED 6/5LB,20.25,1,20.25,20.25
Item: GREEN LENTILS,20.0,3,-20.0,20.0
Item: BLEACH AROCEP GERM 128Z,19.99,1,19.99,19.99
Item: MOP CTN EXT HVY,19.84,2,9.92,9.92
Item: SPNGE GRN/YEL 74CC,19.52,1,19.52,19.52
Item: TOMATO DRIED STRIP 4/5#,19.11,1,19.11,19.11
Item: SPC THYME          2LB,18.9,1,18.9,18.9
Item: PD ORG SPINCH BABY,18.86,4,-3.14,12.57
Item: OIL SESAME LKK     56Z,18.76,1,18.76,18.76
Item: PD ORG SUPER MIX,18.7,2,9.35,9.35
Item: NICOLE TEASPOON    DZN,18.64,2,9.32,9.32
Item: PD MANGO LARGE,18.3,2,-6.1,24.4
Item: PD EGGPLANT 24CT,18.05,1,18.05,18.05
Item: NICOLE DINNR KNIFE DZN,17.02,1,17.02,17.02
Item: FLOUR SACKS 1DZ,16.96,1,16.96,16.96
Item: ROCHER 48PC CLB PK,16.95,1,16.95,16.95
"Item: MNDL COOK KNF 8""",16.69,1,16.69,16.69
Item: PDU MELON HONEY 2C,15.76,2,-8.48,24.24
Item: PD ORANGE 88CT,15.59,2,-8.4,23.99
Item: PD PPR JALAPENO 5#,14.79,2,5.48,9.31
Item: PD SQUASH YLW MED,14.3,1,14.3,14.3
Item: PD MUSH SLICED 10#,13.62,2,-11.14,24.76
Item: APRICOTS TURKISH   32Z,13.48,1,13.48,13.48
Item: WINE CKING SAUTERN 4/1GL,13.16,2,6.58,6.58
Item: PD ON GRN ICELESS,12.89,1,12.89,12.89
Item: WRTS HICKRY SEAS,12.84,1,12.84,12.84
Item: SQUID T&T CLN 3-5,12.32,1,12.32,12.32
Item: BROOM JANITOR,12.23,1,12.23,12.23
Item: TEA UNSWETND CONC,12.07,1,12.07,12.07
Item: PDU PINEAPPLE 2CT,11.69,2,-5.01,16.7
Item: PD MICRO CILANTRO,11.67,1,11.67,11.67
Item: PD SHALLOT PEELED,11.48,2,-6.18,17.66
Item: PD DATE MEDJOOL 2,11.38,1,11.38,11.38
Item: PEPPER CHIPOTLE,10.86,1,10.86,10.86
Item: DISHER FOOD BL#16,10.56,1,10.56,10.56
"Item: LC 6"" FRG BONING   KNIFE",10.28,1,10.28,10.28
Item: OS CRAISINS        48Z,9.93,1,9.93,9.93
Item: HEARTS OF PALM SLC 28Z,9.68,2,4.84,4.84
Item: MOP MAXICLEAN GRN,8.74,1,8.74,8.74
Item: SCRBBR STN/STL84CC,8.61,1,8.61,8.61
Item: GP WHOLE DILL,8.21,1,8.21,8.21
Item: PD ONION RED 10#,7.71,1,7.71,7.71
Item: SCRUBBER S/S 35G,7.4,1,7.4,7.4
Item: PINE CLEANER,7.29,1,7.29,7.29
Item: VINEGAR CIDER 4%   1GL,6.96,1,6.96,6.96
Item: SCR PAD MED DUTY   96CC,6.49,1,6.49,6.49
Item: SPONGE GRN/YEL,6.27,1,6.27,6.27
Item: GREEN SCRNG PADS,5.55,1,5.55,5.55
Item: GLOVE NITRILE SM,5.04,1,5.04,5.04
Item: LADLE S/S 2Z 1PC,3.59,1,3.59,3.59
Item: SCE SALT/CARAMEL,2.71,2,-1.81,4.52
Item: KIK BAG MYLAR,1.86,1,1.86,1.86
