Item: SPC PEPR BLK GRND  5LB, Total: $178.51, Count: 8, Min: $20.73, Max: $24.62
Item: FABULOSO LAVENDER  169Z, Total: $172.15, Count: 5, Min: $22.24, Max: $53.80
Item: HONEY LT AMBER CQ, Total: $167.73, Count: 3, Min: $43.93, Max: $79.74
Item: ORANGE THUN CITRUS, Total: $166.97, Count: 6, Min: $12.46, Max: $35.96
Item: DAWN ORIGINAL PUMP, Total: $164.20, Count: 13, Min: $-124.26, Max: $62.13
Item: PD PPR BELL RED LG, Total: $162.85, Count: 7, Min: $18.54, Max: $31.49
Item: BEAN BLACK, Total: $149.45, Count: 10, Min: $-19.52, Max: $19.52
Item: PD BERRY BLUE PINT, Total: $148.74, Count: 8, Min: $-53.12, Max: $151.76
Item: FSH SALM CHUM 8Z, Total: $144.34, Count: 3, Min: $47.86, Max: $48.24
Item: SYRUP MOLASSES CQ, Total: $140.68, Count: 8, Min: $-18.09, Max: $40.20
Item: PD MUSH MEDIUM 10#, Total: $137.85, Count: 11, Min: $-21.34, Max: $47.42
Item: QLT FRY PAN CTD    14", Total: $136.38, Count: 3, Min: $45.46, Max: $45.46
Item: FSH SCAL DRY 8-9, Total: $135.35, Count: 1, Min: $135.35, Max: $135.35
Item: SALT KOSHER MRTON, Total: $121.36, Count: 5, Min: $-5.34, Max: $40.48
Item: PD PPR BELL GREEN, Total: $119.28, Count: 9, Min: $-8.79, Max: $19.54
Item: SPC CAJUN SEASONIN 6LB, Total: $119.22, Count: 5, Min: $21.59, Max: $25.60
Item: GLOVE VNL LG PF, Total: $115.50, Count: 5, Min: $-4.80, Max: $38.50
Item: FSH COD FLT 16-32, Total: $115.00, Count: 1, Min: $115.00, Max: $115.00
Item: PD BERRY RASPBERRY, Total: $114.47, Count: 14, Min: $-37.80, Max: $38.79
Item: CONT SOUP CMB SC8, Total: $107.22, Count: 4, Min: $24.99, Max: $27.78
Item: PD GARLIC SPAINPLD, Total: $101.15, Count: 8, Min: $-17.35, Max: $18.70
Item: PD ASPARAGUS BAG, Total: $100.47, Count: 4, Min: $-67.80, Max: $135.60
Item: FSH SCAL PR 80-120, Total: $97.32, Count: 2, Min: $48.66, Max: $48.66
Item: PD MUSH PORTABELLA, Total: $96.19, Count: 10, Min: $-21.68, Max: $54.21
Item: CONT SOUP CMB SC32, Total: $95.88, Count: 2, Min: $47.94, Max: $47.94
Item: FSH SCAL PRO 20-25, Total: $94.17, Count: 1, Min: $94.17, Max: $94.17
Item: PD BERRY BLACK 6OZ, Total: $93.17, Count: 5, Min: $-23.02, Max: $51.15
Item: CHX LEG QTR JMB, Total: $88.80, Count: 3, Min: $29.60, Max: $29.60
Item: PD RADISH SACK 25#, Total: $88.28, Count: 5, Min: $-13.55, Max: $39.97
Item: PD TOMATO 25LB XL, Total: $86.98, Count: 11, Min: $-22.66, Max: $33.76
Item: TOPO CHICO MINERAL 12Z, Total: $86.94, Count: 3, Min: $28.98, Max: $28.98
Item: RF SALMON COHO FLT, Total: $82.69, Count: 4, Min: $20.06, Max: $21.18
Item: WELCHS FRUIT SNACK 2.25OZ, Total: $80.30, Count: 8, Min: $-33.04, Max: $73.43
Item: PD CUCUMBER HH BLK, Total: $79.39, Count: 8, Min: $-28.20, Max: $29.85
Item: PD TOMATILLO CS, Total: $78.58, Count: 6, Min: $-44.64, Max: $44.64
Item: VINEGR WINE RED    1GL, Total: $78.19, Count: 8, Min: $9.49, Max: $10.04
Item: SP ITALIAN SEASNG  2LB, Total: $76.17, Count: 3, Min: $25.21, Max: $25.75
Item: PD ONION RED 25#, Total: $76.14, Count: 6, Min: $-13.75, Max: $22.27
Item: SALT IODIZED ROUND, Total: $73.46, Count: 5, Min: $14.48, Max: $14.89
Item: BOUILLON 7.25Z     RE AW, Total: $71.37, Count: 3, Min: $23.79, Max: $23.79
Item: WIN MANDOLINE SET, Total: $70.84, Count: 1, Min: $70.84, Max: $70.84
Item: PD MUSH LARGE 10LB, Total: $70.15, Count: 4, Min: $-15.59, Max: $62.36
Item: PD APPLE FUJI72-88, Total: $66.45, Count: 2, Min: $28.63, Max: $37.82
Item: CRAB DUNGE CLUSTER, Total: $64.88, Count: 2, Min: $-34.93, Max: $99.81
Item: BF FEET CUT/SLICED FRZ, Total: $64.80, Count: 3, Min: $21.60, Max: $21.60
Item: PD GRNS COLLARD 24, Total: $64.50, Count: 5, Min: $-16.38, Max: $32.76
Item: PD TOMATO ROMA XL, Total: $63.40, Count: 6, Min: $-14.37, Max: $41.07
Item: SAUCE FISH SQUID   25Z, Total: $62.94, Count: 3, Min: $3.17, Max: $29.96
Item: LID SFL 3.25-5Z, Total: $61.71, Count: 2, Min: $27.39, Max: $34.32
Item: FSH SALM CHUM 6Z, Total: $58.90, Count: 1, Min: $58.90, Max: $58.90
